iter	Passed	Remaining
402	12641	144199
403	12670	144142
404	12701	144101
405	12731	144060
406	12761	144012
407	12791	143970
408	12822	143926
409	12854	143902
410	12884	143860
411	12915	143828
412	12948	143811
413	12975	143736
414	13007	143712
415	13041	143707
416	13073	143686
417	13103	143632
418	13132	143574
419	13163	143547
420	13195	143520
421	13219	143413
422	13247	143341
423	13278	143305
424	13308	143262
425	13337	143201
426	13366	143154
427	13397	143111
428	13425	143044
429	13457	143030
430	13488	142991
431	13518	142941
432	13548	142901
433	13578	142860
434	13607	142799
435	13635	142734
436	13670	142737
437	13704	142739
438	13734	142696
439	13763	142641
440	13794	142608
441	13825	142573
442	13858	142557
443	13888	142518
444	13919	142478
445	13947	142417
446	13976	142360
447	14008	142333
448	14041	142320
449	14074	142307
450	14106	142284
451	14137	142254
452	14168	142215
453	14201	142201
454	14233	142178
455	14262	142127
456	14298	142135
457	14327	142084
458	14357	142045
459	14386	141991
460	14421	141992
461	14451	141946
462	14483	141926
463	14519	141936
464	14547	141879
465	14573	141794
466	14604	141758
467	14634	141716
468	14665	141685
469	14702	141704
470	14735	141690
471	14766	141662
472	14798	141631
473	14833	141634
474	14864	141600
475	14894	141556
476	14924	141519
477	14956	141494
478	14986	141448
479	15022	141458
480	15052	141415
481	15089	141436
482	15120	141404
483	15152	141383
484	15181	141330
485	15214	141316
486	15244	141265
487	15278	141263
488	15307	141211
489	15338	141173
490	15367	141128
491	15398	141093
492	15431	141071
493	15462	141040
494	15494	141018
495	15526	140989
496	15557	140959
497	15586	140907
498	15619	140892
499	15651	140866
500	15681	140820
501	15711	140779
502	15745	140767
503	15769	140676
504	15800	140643
505	15834	140632
506	15870	140641
507	15902	140617
508	15935	140602
509	15968	140583
510	15993	140502
511	16014	140373
512	16043	140328
513	16075	140300
514	16107	140277
515	16137	140230
516	16166	140183
517	16196	140144
518	16228	140112
519	16256	140054
520	16286	140011
521	16316	139975
522	16343	139902
523	16374	139874
524	16405	139837
525	16436	139802
526	16470	139794
527	16500	139757
528	16531	139718
529	16560	139668
530	16587	139607
531	16619	139582
532	16645	139500
533	16669	139407
534	16700	139382
535	16731	139346
536	16764	139327
537	16795	139295
538	16829	139286
539	16860	139254
540	16891	139220
541	16918	139158
542	16949	139122
543	16983	139113
544	17018	139117
545	17048	139075
546	17080	139051
547	17113	139032
548	17140	138962
549	17171	138936
550	17202	138899
551	17235	138883
552	17267	138858
553	17293	138785
554	17325	138760
555	17356	138729
556	17387	138697
557	17421	138683
558	17451	138642
559	17483	138619
560	17516	138600
561	17548	138580
562	17583	138572
563	17616	138555
564	17649	138542
565	17681	138516
566	17714	138495
567	17747	138477
568	17770	138387
569	17800	138345
570	17831	138314
571	17856	138232
572	17880	138145
573	17911	138111
574	17939	138055
575	17969	138013
576	17999	137977
577	18029	137931
578	18053	137851
579	18085	137823
580	18115	137783
581	18146	137753
582	18178	137724
583	18213	137721
584	18246	137703
585	18277	137673
586	18308	137639
587	18339	137606
588	18368	137564
589	18403	137561
590	18439	137564
591	18473	137554
592	18506	137533
593	18538	137507
594	18578	137541
595	18610	137521
596	18642	137494
597	18678	137493
598	18708	137456
599	18734	137388
600	18771	137395
601	18803	137368
602	18833	137332
603	18864	137300
604	18896	137274
605	18928	137244
606	18956	137189
607	18990	137180
608	19021	137149
609	19054	137131
610	19090	137129
611	19122	137105
612	19151	137063
613	19184	137043
614	19212	136984
615	19242	136945
616	19273	136915
617	19305	136885
618	19335	136851
619	19364	136802
620	19394	136759
621	19421	136702
622	19447	136630
623	19478	136599
624	19505	136540
625	19536	136507
626	19568	136479
627	19593	136407
628	19622	136362
629	19652	136320
630	19681	136274
631	19710	136227
632	19742	136202
633	19773	136168
634	19802	136125
635	19833	136091
636	19857	136006
637	19878	135910
638	19909	135876
639	19934	135804
640	19966	135777
641	19998	135751
642	20029	135720
643	20057	135671
644	20092	135661
645	20129	135669
646	20159	135630
647	20198	135657
648	20236	135668
649	20273	135678
650	20307	135661
651	20340	135644
652	20371	135615
653	20403	135589
654	20434	135551
655	20465	135519
656	20494	135478
657	20527	135457
658	20550	135372
659	20581	135338
660	20614	135320
661	20640	135256
662	20672	135226
663	20701	135182
664	20734	135166
665	20761	135104
666	20798	135115
667	20831	135094
668	20865	135079
669	20900	135074
670	20934	135062
671	20967	135041
672	20998	135007
673	21027	134964
674	21058	134930
675	21089	134900
676	21113	134821
677	21143	134784
678	21175	134757
679	21207	134732
680	21232	134662
681	21265	134638
682	21290	134567
683	21321	134538
684	21353	134512
685	21381	134460
686	21412	134429
687	21442	134388
688	21469	134330
689	21497	134280
690	21523	134215
691	21552	134176
692	21584	134148
693	21613	134106
694	21638	134031
695	21668	133995
696	21702	133982
697	21735	133962
698	21766	133932
699	21797	133901
700	21829	133870
701	21860	133841
702	21892	133815
703	21923	133781
704	21955	133754
705	21987	133732
706	22018	133696
707	22048	133660
708	22081	133640
709	22113	133613
710	22148	133605
711	22180	133581
712	22211	133549
713	22240	133505
714	22268	133454
715	22302	133443
716	22334	133416
717	22365	133382
718	22396	133348
719	22428	133323
720	22459	133295
721	22493	133280
722	22524	133248
723	22554	133206
724	22583	133166
725	22614	133130
726	22646	133109
727	22676	133067
728	22707	133038
729	22734	132980
730	22763	132938
731	22791	132889
732	22822	132857
733	22856	132839
734	22886	132803
735	22918	132776
736	22947	132736
737	22978	132701
738	23011	132681
739	23042	132648
740	23072	132611
741	23100	132565
742	23130	132523
743	23160	132490
744	23183	132410
745	23216	132390
746	23251	132378
747	23284	132358
748	23317	132341
749	23350	132321
750	23382	132294
751	23413	132261
752	23442	132219
753	23472	132181
754	23500	132131
755	23533	132110
756	23562	132066
757	23593	132036
758	23626	132017
759	23657	131982
760	23685	131935
761	23720	131925
762	23758	131930
763	23791	131909
764	23820	131869
765	23855	131857
766	23891	131854
767	23927	131851
768	23962	131838
769	23991	131798
770	24028	131797
771	24058	131759
772	24088	131722
773	24118	131684
774	24151	131666
775	24184	131641
776	24218	131627
777	24251	131605
778	24281	131568
779	24309	131522
780	24341	131496
781	24377	131488
782	24409	131463
783	24441	131437
784	24469	131385
785	24500	131354
786	24530	131316
787	24562	131291
788	24591	131247
789	24626	131237
790	24659	131217
791	24693	131199
792	24720	131144
793	24750	131111
794	24783	131085
795	24818	131075
796	24847	131036
797	24879	131006
798	24912	130984
799	24947	130974
800	24980	130950
801	25010	130916
802	25040	130876
803	25073	130856
804	25106	130836
805	25137	130802
806	25169	130774
807	25203	130757
808	25233	130722
809	25267	130705
810	25297	130665
811	25328	130634
812	25361	130611
813	25392	130580
814	25425	130557
815	25459	130540
816	25490	130509
817	25522	130480
818	25548	130424
819	25579	130390
820	25608	130349
821	25640	130324
822	25670	130287
823	25700	130250
824	25733	130227
825	25763	130189
826	25797	130170
827	25826	130132
828	25859	130108
829	25890	130078
830	25918	130027
831	25954	130022
832	25982	129975
833	26012	129939
834	26036	129872
835	26066	129831
836	26096	129798
837	26129	129772
838	26160	129741
839	26193	129721
840	26225	129694
841	26262	129692
842	26287	129628
843	26318	129596
844	26349	129566
845	26381	129536
846	26408	129483
847	26437	129444
848	26465	129396
849	26490	129333
850	26517	129283
851	26552	129272
852	26584	129246
853	26617	129224
854	26648	129191
855	26679	129156
856	26716	129155
857	26750	129135
858	26782	129112
859	26813	129080
860	26843	129041
861	26875	129014
862	26907	128988
863	26935	128941
864	26967	128912
865	27001	128897
866	27038	128892
867	27069	128859
868	27101	128832
869	27132	128800
870	27159	128751
871	27196	128747
872	27229	128725
873	27261	128697
874	27291	128661
875	27324	128635
876	27359	128625
877	27390	128591
878	27423	128567
879	27454	128538
880	27485	128503
881	27509	128440
882	27540	128405
883	27575	128394
884	27605	128359
885	27637	128330
886	27670	128306
887	27701	128276
888	27725	128209
889	27756	128179
890	27788	128153
891	27820	128122
892	27854	128104
893	27886	128078
894	27917	128047
895	27949	128018
896	27980	127988
897	28012	127959
898	28037	127897
899	28060	127832
900	28089	127788
901	28119	127752
902	28149	127718
903	28181	127690
904	28208	127639
905	28242	127620
906	28273	127590
907	28304	127558
908	28333	127514
909	28373	127523
910	28406	127500
911	28435	127460
912	28466	127427
913	28495	127388
914	28526	127355
915	28558	127330
916	28590	127300
917	28623	127276
918	28655	127249
919	28689	127232
920	28717	127186
921	28749	127159
922	28784	127143
923	28811	127096
924	28843	127065
925	28873	127030
926	28903	126995
927	28932	126955
928	28969	126950
929	29000	126917
930	29031	126885
931	29056	126826
932	29085	126786
933	29114	126743
934	29146	126717
935	29179	126693
936	29206	126644
937	29231	126586
938	29262	126556
939	29294	126527
940	29323	126488
941	29356	126461
942	29390	126445
943	29423	126422
944	29456	126399
945	29486	126363
946	29510	126300
947	29544	126279
948	29575	126250
949	29607	126219
950	29637	126186
951	29670	126163
952	29706	126150
953	29736	126116
954	29769	126090
955	29801	126062
956	29830	126024
957	29859	125985
958	29888	125944
959	29913	125886
960	29933	125806
961	29963	125770
962	29996	125748
963	30029	125724
964	30061	125696
965	30092	125664
966	30122	125628
967	30147	125572
968	30176	125532
969	30208	125506
970	30241	125483
971	30272	125451
972	30300	125407
973	30331	125372
974	30364	125350
975	30395	125319
976	30429	125298
977	30461	125272
978	30488	125224
979	30521	125198
980	30546	125145
981	30580	125124
982	30610	125087
983	30637	125042
984	30666	125000
985	30694	124958
986	30727	124931
987	30758	124901
988	30790	124875
989	30821	124840
990	30853	124814
991	30883	124779
992	30915	124751
993	30946	124721
994	30978	124690
995	31007	124654
996	31040	124628
997	31070	124591
998	31098	124548
999	31128	124513
1000	31159	124482
1001	31189	124446
1002	31218	124407
1003	31241	124345
1004	31282	124353
1005	31308	124298
1006	31340	124271
1007	31370	124238
1008	31405	124220
1009	31436	124189
1010	31469	124166
1011	31499	124129
1012	31524	124077
1013	31553	124036
1014	31587	124014
1015	31615	123973
1016	31651	123960
1017	31681	123923
1018	31710	123886
1019	31742	123858
1020	31771	123820
1021	31803	123790
1022	31834	123758
1023	31863	123719
1024	31891	123676
1025	31921	123642
1026	31955	123620
1027	31986	123587
1028	32016	123553
1029	32045	123513
1030	32076	123484
1031	32109	123460
1032	32138	123420
1033	32168	123387
1034	32197	123346
1035	32223	123294
1036	32255	123268
1037	32287	123240
1038	32319	123212
1039	32348	123174
1040	32375	123127
1041	32405	123091
1042	32438	123067
1043	32468	123033
1044	32503	123014
1045	32542	123013
1046	32573	122982
1047	32604	122952
1048	32634	122916
1049	32664	122881
1050	32699	122865
1051	32732	122842
1052	32763	122807
1053	32795	122781
1054	32826	122750
1055	32857	122716
1056	32886	122679
1057	32919	122655
1058	32951	122626
1059	32983	122598
1060	33009	122549
1061	33039	122515
1062	33071	122486
1063	33102	122455
1064	33132	122420
1065	33164	122392
1066	33194	122356
1067	33226	122327
1068	33256	122294
1069	33289	122269
1070	33318	122230
1071	33352	122208
1072	33382	122175
1073	33409	122127
1074	33438	122087
1075	33469	122058
1076	33501	122028
1077	33533	122001
1078	33566	121976
1079	33594	121934
1080	33627	121911
1081	33657	121875
1082	33686	121838
1083	33719	121813
1084	33755	121798
1085	33793	121792
1086	33820	121747
1087	33852	121719
1088	33881	121679
1089	33915	121659
1090	33948	121636
1091	33979	121604
1092	34011	121577
1093	34042	121545
1094	34078	121531
1095	34111	121507
1096	34141	121471
1097	34174	121447
1098	34203	121410
1099	34239	121396
1100	34264	121340
1101	34296	121315
1102	34328	121284
1103	34360	121256
1104	34390	121224
1105	34426	121207
1106	34451	121155
1107	34484	121131
1108	34516	121101
1109	34543	121057
1110	34573	121023
1111	34606	120998
1112	34637	120967
1113	34666	120928
1114	34696	120892
1115	34728	120864
1116	34761	120839
1117	34791	120804
1118	34821	120769
1119	34854	120744
1120	34886	120718
1121	34915	120680
1122	34944	120640
1123	34978	120619
1124	35010	120590
1125	35038	120550
1126	35069	120519
1127	35102	120492
1128	35134	120466
1129	35164	120431
1130	35195	120399
1131	35226	120368
1132	35258	120340
1133	35289	120307
1134	35318	120270
1135	35348	120234
1136	35383	120216
1137	35407	120162
1138	35438	120131
1139	35467	120090
1140	35500	120066
1141	35537	120057
1142	35570	120030
1143	35601	119998
1144	35632	119966
1145	35662	119933
1146	35695	119908
1147	35727	119880
1148	35756	119841
1149	35781	119789
1150	35810	119753
1151	35842	119722
1152	35875	119698
1153	35901	119652
1154	35932	119620
1155	35959	119575
1156	35992	119550
1157	36023	119519
1158	36056	119494
1159	36091	119475
1160	36119	119432
1161	36150	119401
1162	36183	119378
1163	36212	119339
1164	36243	119308
1165	36275	119279
1166	36305	119245
1167	36336	119213
1168	36368	119186
1169	36399	119154
1170	36429	119118
1171	36457	119077
1172	36487	119042
1173	36517	119008
1174	36553	118991
1175	36581	118952
1176	36613	118924
1177	36639	118876
1178	36670	118844
1179	36702	118817
1180	36731	118778
1181	36765	118756
1182	36797	118727
1183	36832	118709
1184	36862	118675
1185	36893	118644
1186	36926	118617
1187	36958	118590
1188	36985	118546
1189	37017	118516
1190	37047	118482
1191	37078	118450
1192	37113	118433
1193	37146	118407
1194	37175	118370
1195	37207	118342
1196	37236	118303
1197	37267	118273
1198	37296	118234
1199	37327	118203
1200	37358	118173
1201	37391	118147
1202	37422	118116
1203	37452	118079
1204	37487	118061
1205	37518	118029
1206	37548	117995
1207	37580	117968
1208	37620	117964
1209	37650	117930
1210	37681	117897
1211	37710	117860
1212	37742	117830
1213	37764	117773
1214	37796	117745
1215	37830	117721
1216	37865	117704
1217	37895	117667
1218	37925	117635
1219	37956	117602
1220	37993	117588
1221	38025	117561
1222	38057	117532
1223	38089	117504
1224	38120	117472
1225	38150	117438
1226	38182	117410
1227	38215	117385
1228	38249	117362
1229	38279	117327
1230	38311	117299
1231	38343	117271
1232	38377	117249
1233	38408	117218
1234	38440	117189
1235	38472	117161
1236	38508	117143
1237	38539	117111
1238	38571	117082
1239	38602	117053
1240	38626	117000
1241	38658	116971
1242	38694	116954
1243	38726	116926
1244	38757	116894
1245	38790	116869
1246	38823	116843
1247	38856	116819
1248	38888	116790
1249	38920	116760
1250	38949	116724
1251	38986	116711
1252	39015	116673
1253	39050	116652
1254	39081	116620
1255	39112	116589
1256	39149	116577
1257	39181	116547
1258	39211	116514
1259	39236	116464
1260	39269	116438
1261	39304	116419
1262	39334	116382
1263	39360	116336
1264	39389	116300
1265	39418	116263
1266	39450	116234
1267	39483	116208
1268	39513	116174
1269	39545	116144
1270	39575	116111
1271	39608	116086
1272	39641	116058
1273	39666	116011
1274	39691	115961
1275	39722	115930
1276	39749	115886
1277	39778	115848
1278	39810	115820
1279	39841	115790
1280	39873	115759
1281	39906	115735
1282	39938	115705
1283	39969	115674
1284	40000	115642
1285	40028	115604
1286	40060	115575
1287	40090	115539
1288	40122	115512
1289	40147	115463
1290	40179	115433
1291	40209	115401
1292	40238	115361
1293	40271	115337
1294	40305	115315
1295	40336	115283
1296	40374	115270
1297	40402	115230
1298	40433	115198
1299	40466	115173
1300	40491	115125
1301	40531	115120
1302	40563	115090
1303	40594	115059
1304	40627	115032
1305	40659	115003
1306	40688	114967
1307	40720	114939
1308	40753	114912
1309	40786	114887
1310	40817	114856
1311	40851	114833
1312	40881	114796
1313	40913	114769
1314	40939	114723
1315	40971	114694
1316	40994	114642
1317	41028	114617
1318	41061	114592
1319	41092	114560
1320	41124	114531
1321	41161	114517
1322	41192	114485
1323	41226	114463
1324	41258	114433
1325	41292	114409
1326	41328	114392
1327	41359	114362
1328	41391	114331
1329	41421	114298
1330	41458	114283
1331	41490	114253
1332	41522	114225
1333	41553	114195
1334	41584	114161
1335	41624	114155
1336	41653	114117
1337	41685	114089
1338	41716	114057
1339	41747	114027
1340	41777	113993
1341	41810	113967
1342	41846	113947
1343	41877	113915
1344	41911	113892
1345	41942	113861
1346	41972	113826
1347	42003	113795
1348	42035	113766
1349	42063	113726
1350	42096	113700
1351	42127	113670
1352	42157	113635
1353	42189	113606
1354	42221	113577
1355	42255	113552
1356	42285	113519
1357	42315	113486
1358	42350	113464
1359	42382	113434
1360	42412	113401
1361	42443	113370
1362	42475	113341
1363	42506	113310
1364	42541	113287
1365	42571	113252
1366	42599	113215
1367	42632	113186
1368	42661	113150
1369	42693	113122
1370	42723	113086
1371	42749	113042
1372	42780	113011
1373	42810	112976
1374	42844	112952
1375	42875	112922
1376	42903	112881
1377	42936	112856
1378	42967	112824
1379	42997	112790
1380	43030	112762
1381	43056	112719
1382	43086	112685
1383	43120	112661
1384	43151	112628
1385	43182	112599
1386	43215	112572
1387	43246	112540
1388	43278	112512
1389	43310	112482
1390	43340	112449
1391	43374	112423
1392	43406	112396
1393	43437	112362
1394	43460	112311
1395	43491	112280
1396	43524	112252
1397	43556	112226
1398	43588	112196
1399	43622	112171
1400	43653	112140
1401	43683	112105
1402	43707	112056
1403	43740	112031
1404	43774	112005
1405	43804	111972
1406	43834	111938
1407	43864	111903
1408	43896	111875
1409	43929	111849
1410	43962	111822
1411	43994	111794
1412	44024	111759
1413	44055	111727
1414	44084	111692
1415	44114	111658
1416	44147	111631
1417	44179	111601
1418	44211	111572
1419	44242	111542
1420	44277	111518
1421	44314	111504
1422	44346	111472
1423	44378	111445
1424	44410	111414
1425	44440	111382
1426	44473	111354
1427	44502	111318
1428	44533	111285
1429	44558	111239
1430	44589	111209
1431	44622	111183
1432	44654	111154
1433	44689	111131
1434	44713	111083
1435	44745	111052
1436	44774	111017
1437	44805	110984
1438	44840	110962
1439	44871	110932
1440	44907	110913
1441	44940	110886
1442	44973	110858
1443	45004	110828
1444	45033	110790
1445	45064	110759
1446	45095	110728
1447	45125	110694
1448	45155	110661
1449	45188	110634
1450	45227	110622
1451	45266	110609
1452	45299	110583
1453	45332	110556
1454	45366	110531
1455	45391	110486
1456	45424	110460
1457	45455	110427
1458	45489	110403
1459	45523	110378
1460	45559	110359
1461	45601	110354
1462	45632	110322
1463	45666	110299
1464	45695	110262
1465	45727	110233
1466	45758	110200
1467	45788	110167
1468	45820	110138
1469	45853	110110
1470	45885	110081
1471	45915	110048
1472	45942	110005
1473	45967	109960
1474	46001	109934
1475	46036	109912
1476	46067	109881
1477	46099	109853
1478	46135	109832
1479	46166	109800
1480	46196	109766
1481	46222	109724
1482	46254	109694
1483	46285	109661
1484	46314	109627
1485	46345	109595
1486	46378	109567
1487	46409	109536
1488	46441	109507
1489	46465	109459
1490	46496	109427
1491	46526	109394
1492	46558	109364
1493	46588	109330
1494	46624	109310
1495	46657	109282
1496	46687	109249
1497	46718	109218
1498	46754	109196
1499	46784	109164
1500	46814	109129
1501	46842	109092
1502	46878	109072
1503	46908	109038
1504	46939	109005
1505	46970	108974
1506	47003	108945
1507	47029	108904
1508	47063	108880
1509	47096	108851
1510	47128	108822
1511	47153	108777
1512	47182	108741
1513	47214	108712
1514	47246	108681
1515	47276	108649
1516	47304	108609
1517	47337	108582
1518	47368	108551
1519	47401	108524
1520	47428	108483
1521	47455	108443
1522	47487	108414
1523	47517	108380
1524	47552	108357
1525	47583	108326
1526	47617	108300
1527	47649	108272
1528	47683	108245
1529	47716	108219
1530	47746	108186
1531	47777	108154
1532	47808	108122
1533	47840	108093
1534	47870	108060
1535	47901	108027
1536	47935	108002
1537	47966	107971
1538	47999	107944
1539	48032	107916
1540	48065	107888
1541	48096	107858
1542	48128	107828
1543	48159	107797
1544	48188	107760
1545	48218	107727
1546	48248	107693
1547	48279	107661
1548	48311	107632
1549	48343	107603
1550	48375	107573
