iter	RMSE
0	0.1058686512
1	0.1030089127
2	0.1002054191
3	0.09752575249
4	0.09489050842
5	0.09238383367
6	0.08994586206
7	0.08759594373
8	0.08532582658
9	0.08311954773
10	0.08097574238
11	0.07888504635
12	0.07685413874
13	0.07487278305
14	0.07298655146
15	0.07113756894
16	0.06933878618
17	0.06766685246
18	0.06601653441
19	0.06441377853
20	0.06283707231
21	0.0613248728
22	0.05985986575
23	0.0584555333
24	0.05708225787
25	0.05576583886
26	0.05448778926
27	0.05324313394
28	0.05207976718
29	0.05092397211
30	0.04984645638
31	0.04874299376
32	0.04772733049
33	0.04671956583
34	0.04572368665
35	0.04477328869
36	0.04385923321
37	0.04297151371
38	0.042127547
39	0.04132703532
40	0.04052093734
41	0.0397643339
42	0.03902537084
43	0.03829430314
44	0.03763633085
45	0.0369801049
46	0.03633321483
47	0.035718528
48	0.03512370095
49	0.03456854285
50	0.03400468339
51	0.03348751443
52	0.03297952704
53	0.03247633799
54	0.03199998644
55	0.03154137983
56	0.03110347133
57	0.030711502
58	0.03031515606
59	0.0299486825
60	0.02960338938
61	0.02923663769
62	0.02888911044
63	0.02855430731
64	0.02826195516
65	0.02795538723
66	0.0276801315
67	0.02739764388
68	0.02713893302
69	0.02686896943
70	0.02662334936
71	0.0264086504
72	0.0261733861
73	0.02595025883
74	0.02576319826
75	0.02555153606
76	0.02537948871
77	0.02521291759
78	0.02503798005
79	0.02486838591
80	0.02470333467
81	0.02454492151
82	0.02439322638
83	0.02424162244
84	0.02410962151
85	0.02397093013
86	0.0238499387
87	0.0237472595
88	0.02364420701
89	0.02354762005
90	0.02345330974
91	0.02336282332
92	0.02326968678
93	0.02317254571
94	0.0230774073
95	0.02299151662
96	0.02292417306
97	0.02285393533
98	0.02278218183
99	0.02270954045
100	0.022629898
101	0.02256736281
102	0.02251301255
103	0.02246202014
104	0.02241196767
105	0.02235200827
106	0.02229280209
107	0.02224195186
108	0.02218932757
109	0.02214874992
110	0.02209841672
111	0.02205315758
112	0.02201337181
113	0.02197939895
114	0.02194906082
115	0.02191379917
116	0.02187053996
117	0.02182895637
118	0.02179040918
119	0.02175707118
120	0.02171741346
121	0.0216821068
122	0.02165143976
123	0.02162953556
124	0.0215989276
125	0.02157728889
126	0.02154563469
127	0.02152680188
128	0.02150867736
129	0.02149232828
130	0.02147270924
131	0.02145571003
132	0.02143848997
133	0.02142233048
134	0.02140242735
135	0.02138027558
136	0.02136500082
137	0.02133855595
138	0.0213193012
139	0.02129708164
140	0.02127918885
141	0.02126900064
142	0.02124519146
143	0.02123512519
144	0.02121815231
145	0.02120002481
146	0.02118489302
147	0.02117300455
148	0.0211582596
149	0.02115040292
150	0.0211335327
151	0.021120698
152	0.02110571994
153	0.02108500476
154	0.02107613417
155	0.02106433676
156	0.02105579939
157	0.02104498923
158	0.02102934708
159	0.02102073542
160	0.02100301256
161	0.02099583567
162	0.02098783398
163	0.02097849723
164	0.02096485736
165	0.02095400924
166	0.0209444341
167	0.02093813944
168	0.02092585509
169	0.02091618707
170	0.02090784921
171	0.02089955088
172	0.02088949014
173	0.02087873951
174	0.02086933904
175	0.02085563198
176	0.02084956431
177	0.02084073421
178	0.02082707495
179	0.02081535214
180	0.0208096824
181	0.02079604168
182	0.02078577282
183	0.02077315101
184	0.02076328382
185	0.02075202274
186	0.02074355885
187	0.02073543328
188	0.02072885748
189	0.02072278173
190	0.0207154022
191	0.02070899992
192	0.02070480211
193	0.02069952906
194	0.02069161056
195	0.0206861529
196	0.02067713591
197	0.02067101954
198	0.02066476927
199	0.02065788396
200	0.02064989713
201	0.02064115511
202	0.02063308486
203	0.02062726065
204	0.02062481145
205	0.0206180258
206	0.02061350163
207	0.02060959828
208	0.02060222674
209	0.02059465675
210	0.02058944743
211	0.02058228673
212	0.02057476305
213	0.02057247885
214	0.02056733433
215	0.02056104779
216	0.02055849128
217	0.02055493801
218	0.02055097505
219	0.02054527641
220	0.02053488483
221	0.02052945191
222	0.02052067019
223	0.02051655519
224	0.0205085343
225	0.02050342962
226	0.0204963405
227	0.02048797574
228	0.02048525898
229	0.02047689089
230	0.02046942741
231	0.02046432528
232	0.02045993872
233	0.02045362432
234	0.02045014027
235	0.02044613741
236	0.02044082169
237	0.02043459708
238	0.02043045279
239	0.02042035454
240	0.02041163629
241	0.02040613493
242	0.02039740005
243	0.02039025187
244	0.02038532013
245	0.02038288517
246	0.02037973121
247	0.02037390471
248	0.02037015852
249	0.02036329507
250	0.02036043807
251	0.0203556643
252	0.02035105768
253	0.02034531221
254	0.02034177971
255	0.02033733513
256	0.02033336562
257	0.02032894603
258	0.02032569006
259	0.02032343228
260	0.02031944747
261	0.02031305627
262	0.02030855175
263	0.02030456237
264	0.02030018476
265	0.02029638024
266	0.02029427432
267	0.02028989531
268	0.02028473186
269	0.02028126619
270	0.02027661401
271	0.02026950463
272	0.0202641194
273	0.02025911797
274	0.02025600859
275	0.02025241334
276	0.02024725094
277	0.02024431485
278	0.02023928824
279	0.02023672474
280	0.02023355586
281	0.02022922774
282	0.02022587452
283	0.0202217401
284	0.02021768697
285	0.02021248233
286	0.02020893574
287	0.02020456691
288	0.02019864041
289	0.02019571925
290	0.02019310573
291	0.02018943172
292	0.02018403077
293	0.02018032986
294	0.02017483385
295	0.02017091355
296	0.0201671566
297	0.02016418834
298	0.02016186028
299	0.02015859928
300	0.02015293903
301	0.02014672674
302	0.02014251533
303	0.02013530966
304	0.02013119397
305	0.02012720425
306	0.02012324814
307	0.02011681622
308	0.0201138161
309	0.02011041779
310	0.0201045778
311	0.02010075606
312	0.02009444696
313	0.02009109924
314	0.02008703447
315	0.0200845274
316	0.02007950385
317	0.02007441459
318	0.02006865676
319	0.02006598008
320	0.02006116669
321	0.02005790283
322	0.02005362926
323	0.02005106702
324	0.02004618774
325	0.0200434604
326	0.02004053155
327	0.02003584641
328	0.02003198556
329	0.02002844308
330	0.02002248149
331	0.02001780748
332	0.02001343815
333	0.02001052018
334	0.02000821915
335	0.02000351598
336	0.01999948509
337	0.01999605987
338	0.01999125267
339	0.01998615989
340	0.01998133634
341	0.01997759166
342	0.01997386905
343	0.01996884356
344	0.01996576763
345	0.01996115408
346	0.01995893156
347	0.01995461123
348	0.01994919523
349	0.01994611476
350	0.01994271452
351	0.01993692185
352	0.0199340772
353	0.01993022439
354	0.01992434311
355	0.01992061803
356	0.01991712352
357	0.01991345665
358	0.01990963018
359	0.01990577465
360	0.01990164438
361	0.01989674649
362	0.01989305006
363	0.01989093243
364	0.01988886287
365	0.01988658577
366	0.01988386904
367	0.01988006874
368	0.01987675086
369	0.0198741676
370	0.01986832921
371	0.01986344139
372	0.0198599437
373	0.01985574394
374	0.0198523691
375	0.0198490496
376	0.0198435794
377	0.01984048801
378	0.01983569132
379	0.01983143026
380	0.01982820773
381	0.01982524702
382	0.01982198793
383	0.01981791107
384	0.01981228069
385	0.01980895012
386	0.01980663314
387	0.01980148068
388	0.01979901032
389	0.01979720811
390	0.01979327833
391	0.01978885569
392	0.01978588143
393	0.0197824068
394	0.01977919621
395	0.01977679712
396	0.01977234931
397	0.01976800371
398	0.0197637211
399	0.0197604309
400	0.01975688307
401	0.01975561016
402	0.01975292469
403	0.01974998466
404	0.01974636328
405	0.01974244766
406	0.01973904846
407	0.01973557022
408	0.01973139176
409	0.01972856135
410	0.01972472351
411	0.0197193044
412	0.01971349066
413	0.01970980921
414	0.01970612446
415	0.01970353587
416	0.01970055477
417	0.01969805949
418	0.01969410896
419	0.01969114395
420	0.01968647753
421	0.01968328171
422	0.01968100267
423	0.01967767962
424	0.01967366127
425	0.01967116412
426	0.01966667813
427	0.0196631412
428	0.01966041457
429	0.01965699887
430	0.01965412335
431	0.01965134227
432	0.01964857175
433	0.01964412567
434	0.01964065737
435	0.01963778744
436	0.01963309711
437	0.01963018732
438	0.01962879569
439	0.01962611008
440	0.01962548119
441	0.0196212913
442	0.01961768659
443	0.01961162112
444	0.01960943675
445	0.01960804853
446	0.01960493362
447	0.01960260374
448	0.01959922181
449	0.01959544329
450	0.01959392477
451	0.01959168046
452	0.01958974749
453	0.01958867634
454	0.01958555051
455	0.01958031306
456	0.01957585725
457	0.01957254542
458	0.0195705588
459	0.01956946056
460	0.01956663266
461	0.0195643084
462	0.01956093725
463	0.01955711764
464	0.01955617815
465	0.01955387651
466	0.0195504083
467	0.01954854481
468	0.01954572018
469	0.01954321342
470	0.01953883871
471	0.01953551794
472	0.01953202005
473	0.01952890347
474	0.01952620383
475	0.01952299609
476	0.01952089848
477	0.01951997155
478	0.01951819941
479	0.01951439296
480	0.01951241486
481	0.01950924717
482	0.01950640015
483	0.01950273957
484	0.01950039181
485	0.01949496921
486	0.01949210083
487	0.01948866555
488	0.0194877819
489	0.01948443808
490	0.01948172783
491	0.0194783357
492	0.01947589996
493	0.01947348536
494	0.01947017451
495	0.01946810973
496	0.01946205109
497	0.01945806119
498	0.01945405651
499	0.01944930337
500	0.01944507671
501	0.01944221459
502	0.01943826887
503	0.01943438952
504	0.01943133609
505	0.01942781148
506	0.01942393604
507	0.0194195321
508	0.01941519043
509	0.01941295065
510	0.01940914085
511	0.01940789461
512	0.01940574345
513	0.01940284723
514	0.01939905585
515	0.01939700559
516	0.01939406398
517	0.01939105139
518	0.01938813044
519	0.01938554125
520	0.01938363528
521	0.0193811984
522	0.01937711499
523	0.01937335315
524	0.01936995655
525	0.01936610715
526	0.01936184725
527	0.01936089323
528	0.01935965814
529	0.01935746969
530	0.01935593176
531	0.0193523619
532	0.0193517403
533	0.01934918081
534	0.01934534716
535	0.01934412658
536	0.01934127768
537	0.01933588239
538	0.01933255214
539	0.01932943391
540	0.01932755235
541	0.01932499115
542	0.01932403484
543	0.01932042246
544	0.01931807116
545	0.01931691293
546	0.01931441585
547	0.01931279552
548	0.01931168221
549	0.01930946914
550	0.01930685669
551	0.01930368682
552	0.01930209967
553	0.01929843742
554	0.01929346211
555	0.01929048004
556	0.01928825913
557	0.01928592097
558	0.01928387846
559	0.01928251279
560	0.01928002562
561	0.01927778574
562	0.01927610737
563	0.01927280536
564	0.01927012715
